# COLLOCATION POINTS
index,x,t,n
110,0.8383838383838383,0.7395999999999999,86
111,0.9090909090909091,0.7224999999999999,85
112,0.26262626262626265,0.5776,76
113,0.23232323232323235,0.9025,95
114,0.7474747474747474,0.10890000000000001,33
115,0.25252525252525254,0.12249999999999998,35
116,0.8282828282828283,0.42250000000000004,65
117,0.08080808080808081,0.17639999999999997,42
118,0.6161616161616161,0.1296,36
119,0.7171717171717171,0.1024,32
120,0.17171717171717174,0.16000000000000003,40
121,0.43434343434343436,0.8835999999999999,94
122,0.10101010101010102,0.0004,2
123,0.9191919191919192,0.0036,6
124,0.6767676767676767,0.028900000000000006,17
125,0.10101010101010102,0.09,30
126,0.8282828282828283,0.2916,54
127,0.8484848484848485,0.9216,96
128,0.010101010101010102,0.2025,45
129,0.6969696969696969,0.10890000000000001,33
130,0.5353535353535354,0.6084,78
131,0.7676767676767676,0.1444,38
132,0.9696969696969697,0.9409,97
133,0.8383838383838383,0.5929,77
134,0.30303030303030304,0.0025000000000000005,5
135,0.9090909090909091,0.6241000000000001,79
136,0.5151515151515151,0.42250000000000004,65
137,0.98989898989899,0.9801,99
138,0.5252525252525252,0.2025,45
139,0.5757575757575757,0.0036,6
140,0.5252525252525252,0.6400000000000001,80
141,0.8686868686868687,0.0081,9
142,0.9797979797979798,0.9216,96
143,0.38383838383838387,0.010000000000000002,10
144,0.24242424242424243,0.1936,44
145,0.33333333333333337,0.39690000000000003,63
146,0.5757575757575757,0.32489999999999997,57
147,0.16161616161616163,0.25,50
148,0.8686868686868687,0.16809999999999997,41
149,0.25252525252525254,0.16000000000000003,40
150,0.38383838383838387,0.5328999999999999,73
151,0.31313131313131315,0.004900000000000001,7
152,0.7878787878787878,0.7224999999999999,85
153,0.12121212121212122,0.2025,45
154,0.06060606060606061,0.016900000000000002,13
155,0.4747474747474748,0.39690000000000003,63
156,0.17171717171717174,0.0961,31
157,0.05050505050505051,0.0729,27
158,0.15151515151515152,0.016900000000000002,13
159,0.23232323232323235,0.1444,38
160,0.6767676767676767,0.004900000000000001,7
161,0.12121212121212122,0.0576,24
162,0.4040404040404041,0.7055999999999999,84
163,0.8080808080808081,0.0225,15
164,0.20202020202020204,0.81,90
165,0.7070707070707071,0.1936,44
166,0.19191919191919193,0.0256,16
167,0.9393939393939393,0.81,90
168,0.898989898989899,0.9025,95
169,0.3535353535353536,0.8835999999999999,94
170,0.3434343434343435,0.5776,76
171,0.3434343434343435,0.9409,97
172,0.9797979797979798,0.5041,71
173,0.23232323232323235,0.0625,25
174,0.9494949494949495,0.04000000000000001,20
175,0.22222222222222224,0.36,60
176,0.4141414141414142,0.8281000000000001,91
177,0.9090909090909091,0.1521,39
178,0.3535353535353536,0.0529,23
179,0.6464646464646464,0.3364,58
180,0.33333333333333337,0.24009999999999998,49
181,0.9090909090909091,0.6561000000000001,81
182,0.14141414141414144,0.25,50
183,0.26262626262626265,0.1024,32
184,0.15151515151515152,0.028900000000000006,17
185,0.5858585858585859,0.6723999999999999,82
186,0.505050505050505,0.6723999999999999,82
187,0.11111111111111112,0.18489999999999998,43
188,0.2828282828282829,0.004900000000000001,7
189,0.9090909090909091,0.0324,18
190,0.5353535353535354,0.10890000000000001,33
191,0.7373737373737373,0.9603999999999999,98
192,0.9797979797979798,0.028900000000000006,17
193,0.5353535353535354,0.5328999999999999,73
194,0.16161616161616163,0.18489999999999998,43
195,0.8888888888888888,0.1936,44
196,0.5959595959595959,0.17639999999999997,42
197,0.43434343434343436,0.22089999999999999,47
198,0.7575757575757576,0.1369,37
199,0.26262626262626265,0.31360000000000005,56

# BOUNDARY POINTS
index,x,t,u_target
0,0.0,0.6561000000000001,0.0
1,0.0,0.17639999999999997,0.0
2,0.0,1.0,0.0
3,0.0,0.10890000000000001,0.0
4,0.0,0.1024,0.0
5,0.0,0.0036,0.0
6,0.0,0.8464,0.0
7,0.0,0.0625,0.0
8,0.0,0.0256,0.0
9,0.0,0.1369,0.0
10,0.0,0.7224999999999999,0.0
11,0.0,0.04409999999999999,0.0
12,0.0,0.9603999999999999,0.0
13,0.0,0.0576,0.0
14,0.0,0.3844,0.0
15,0.0,0.0016,0.0
16,0.0,0.2916,0.0
17,0.0,0.7569,0.0
18,0.0,0.016900000000000002,0.0
19,0.0,0.6561000000000001,0.0
20,0.0,0.6084,0.0
21,0.0,0.0529,0.0
22,0.0,0.7921,0.0
23,0.0,0.1296,0.0
24,0.0,0.17639999999999997,0.0
25,0.0,0.24009999999999998,0.0
26,0.0,0.0841,0.0
27,0.0,0.019600000000000003,0.0
28,0.0,0.6084,0.0
29,0.0,0.6400000000000001,0.0
30,0.0,0.5184,0.0
31,0.0,0.028900000000000006,0.0
32,0.0,0.0025000000000000005,0.0
33,0.0,0.2916,0.0
34,0.0,0.8649000000000001,0.0
35,0.0,0.9409,0.0
36,0.0,0.43560000000000004,0.0
37,0.0,0.5929,0.0
38,0.0,0.0025000000000000005,0.0
39,0.0,0.004900000000000001,0.0
40,0.0,0.7744,0.0
41,0.0,0.5476,0.0
42,0.0,0.9025,0.0
43,0.0,0.1296,0.0
44,0.0,0.1296,0.0
45,0.0,0.4096,0.0
46,0.0,0.0009,0.0
47,0.0,0.0225,0.0
48,0.0,0.31360000000000005,0.0
49,0.0,0.28090000000000004,0.0
50,1.0,0.6561000000000001,0.0
51,1.0,0.17639999999999997,0.0
52,1.0,1.0,0.0
53,1.0,0.10890000000000001,0.0
54,1.0,0.1024,0.0
55,1.0,0.0036,0.0
56,1.0,0.8464,0.0
57,1.0,0.0625,0.0
58,1.0,0.0256,0.0
59,1.0,0.1369,0.0
60,1.0,0.7224999999999999,0.0
61,1.0,0.04409999999999999,0.0
62,1.0,0.9603999999999999,0.0
63,1.0,0.0576,0.0
64,1.0,0.3844,0.0
65,1.0,0.0016,0.0
66,1.0,0.2916,0.0
67,1.0,0.7569,0.0
68,1.0,0.016900000000000002,0.0
69,1.0,0.6561000000000001,0.0
70,1.0,0.6084,0.0
71,1.0,0.0529,0.0
72,1.0,0.7921,0.0
73,1.0,0.1296,0.0
74,1.0,0.17639999999999997,0.0
75,1.0,0.24009999999999998,0.0
76,1.0,0.0841,0.0
77,1.0,0.019600000000000003,0.0
78,1.0,0.6084,0.0
79,1.0,0.6400000000000001,0.0
80,1.0,0.5184,0.0
81,1.0,0.028900000000000006,0.0
82,1.0,0.0025000000000000005,0.0
83,1.0,0.2916,0.0
84,1.0,0.8649000000000001,0.0
85,1.0,0.9409,0.0
86,1.0,0.43560000000000004,0.0
87,1.0,0.5929,0.0
88,1.0,0.0025000000000000005,0.0
89,1.0,0.004900000000000001,0.0
90,1.0,0.7744,0.0
91,1.0,0.5476,0.0
92,1.0,0.9025,0.0
93,1.0,0.1296,0.0
94,1.0,0.1296,0.0
95,1.0,0.4096,0.0
96,1.0,0.0009,0.0
97,1.0,0.0225,0.0
98,1.0,0.31360000000000005,0.0
99,1.0,0.28090000000000004,0.0

# INITIAL POINTS
index,x,t,u_target
0,0.8484848484848485,0.0,0.0
1,0.5454545454545454,0.0,0.0
2,0.6262626262626262,0.0,0.0
3,0.5454545454545454,0.0,0.0
4,0.393939393939394,0.0,0.0
5,0.8080808080808081,0.0,0.0
6,0.38383838383838387,0.0,0.0
7,0.6666666666666666,0.0,0.0
8,0.4545454545454546,0.0,0.0
9,0.3535353535353536,0.0,0.0
10,0.494949494949495,0.0,0.0
11,0.08080808080808081,0.0,0.0
12,0.6969696969696969,0.0,0.0
13,0.4545454545454546,0.0,0.0
14,0.9797979797979798,0.0,0.0
15,0.5555555555555555,0.0,0.0
16,0.5252525252525252,0.0,0.0
17,0.4141414141414142,0.0,0.0
18,0.11111111111111112,0.0,0.0
19,0.0,0.0,0.0
20,0.7474747474747474,0.0,0.0
21,0.7373737373737373,0.0,0.0
22,0.16161616161616163,0.0,0.0
23,0.37373737373737376,0.0,0.0
24,0.9494949494949495,0.0,0.0
25,0.0,0.0,0.0
26,0.5959595959595959,0.0,0.0
27,0.12121212121212122,0.0,0.0
28,0.8787878787878788,0.0,0.0
29,0.12121212121212122,0.0,0.0
30,0.43434343434343436,0.0,0.0
31,0.6262626262626262,0.0,0.0
32,0.06060606060606061,0.0,0.0
33,0.5454545454545454,0.0,0.0
34,0.9696969696969697,0.0,0.0
35,0.18181818181818182,0.0,0.0
36,0.7373737373737373,0.0,0.0
37,0.26262626262626265,0.0,0.0
38,0.7575757575757576,0.0,0.0
39,0.27272727272727276,0.0,0.0
40,0.31313131313131315,0.0,0.0
41,0.5252525252525252,0.0,0.0
42,0.17171717171717174,0.0,0.0
43,0.6666666666666666,0.0,0.0
44,0.7777777777777778,0.0,0.0
45,0.4141414141414142,0.0,0.0
46,0.19191919191919193,0.0,0.0
47,0.393939393939394,0.0,0.0
48,0.5555555555555555,0.0,0.0
49,0.6060606060606061,0.0,0.0
